N,k,duplicates
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
4,1,1
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,1
4,2,0
4,2,0
4,2,0
4,2,2
4,2,2
4,2,2
4,2,2
4,2,2
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,2
4,2,2
4,2,0
4,2,0
4,3,0
4,3,1
4,3,1
4,3,0
4,3,1
4,3,1
4,3,2
4,3,0
4,3,0
4,3,2
4,3,0
4,3,0
4,3,2
4,3,0
4,3,1
4,3,0
4,3,0
4,3,1
4,3,2
4,3,2
4,4,2
4,4,2
4,4,2
4,4,0
4,4,2
4,4,2
4,4,2
4,4,0
4,4,2
4,4,2
4,4,2
4,4,0
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,0
4,4,2
4,4,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,1
4,5,2
4,5,2
4,5,2
4,5,1
4,5,2
4,5,2
4,5,2
4,5,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
4,6,2
6,1,0
6,1,1
6,1,0
6,1,0
6,1,0
6,1,1
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,1
6,1,0
6,1,1
6,1,0
6,1,0
6,1,0
6,1,0
6,1,1
6,1,0
6,2,1
6,2,2
6,2,0
6,2,0
6,2,0
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,2,1
6,2,0
6,2,0
6,2,0
6,2,2
6,2,1
6,2,0
6,2,0
6,2,0
6,2,1
6,3,0
6,3,0
6,3,0
6,3,0
6,3,1
6,3,1
6,3,1
6,3,1
6,3,1
6,3,0
6,3,1
6,3,0
6,3,1
6,3,1
6,3,0
6,3,1
6,3,1
6,3,0
6,3,0
6,3,1
6,4,1
6,4,1
6,4,2
6,4,0
6,4,0
6,4,0
6,4,0
6,4,0
6,4,1
6,4,0
6,4,1
6,4,0
6,4,1
6,4,2
6,4,0
6,4,0
6,4,1
6,4,0
6,4,1
6,4,1
6,5,1
6,5,2
6,5,0
6,5,1
6,5,1
6,5,1
6,5,2
6,5,1
6,5,0
6,5,1
6,5,2
6,5,1
6,5,0
6,5,0
6,5,0
6,5,1
6,5,1
6,5,0
6,5,2
6,5,2
6,6,1
6,6,2
6,6,1
6,6,1
6,6,1
6,6,1
6,6,1
6,6,0
6,6,1
6,6,3
6,6,1
6,6,3
6,6,0
6,6,0
6,6,1
6,6,2
6,6,1
6,6,3
6,6,1
6,6,0
6,7,0
6,7,1
6,7,2
6,7,1
6,7,1
6,7,2
6,7,1
6,7,1
6,7,1
6,7,1
6,7,1
6,7,2
6,7,3
6,7,0
6,7,3
6,7,3
6,7,2
6,7,0
6,7,1
6,7,3
6,8,3
6,8,0
6,8,3
6,8,2
6,8,1
6,8,0
6,8,3
6,8,1
6,8,1
6,8,2
6,8,1
6,8,0
6,8,3
6,8,1
6,8,3
6,8,2
6,8,3
6,8,1
6,8,2
6,8,1
6,9,1
6,9,3
6,9,3
6,9,3
6,9,1
6,9,0
6,9,2
6,9,2
6,9,2
6,9,1
6,9,3
6,9,2
6,9,3
6,9,2
6,9,2
6,9,0
6,9,0
6,9,0
6,9,1
6,9,0
6,10,1
6,10,2
6,10,1
6,10,3
6,10,1
6,10,2
6,10,0
6,10,1
6,10,3
6,10,3
6,10,0
6,10,3
6,10,2
6,10,3
6,10,1
6,10,0
6,10,3
6,10,3
6,10,1
6,10,3
6,11,1
6,11,1
6,11,1
6,11,3
6,11,3
6,11,1
6,11,3
6,11,2
6,11,2
6,11,3
6,11,1
6,11,3
6,11,0
6,11,2
6,11,2
6,11,1
6,11,3
6,11,1
6,11,3
6,11,2
6,12,3
6,12,3
6,12,2
6,12,3
6,12,3
6,12,1
6,12,3
6,12,3
6,12,1
6,12,3
6,12,1
6,12,2
6,12,2
6,12,3
6,12,2
6,12,2
6,12,2
6,12,3
6,12,3
6,12,3
6,13,3
6,13,3
6,13,2
6,13,3
6,13,1
6,13,3
6,13,1
6,13,3
6,13,2
6,13,3
6,13,3
6,13,3
6,13,3
6,13,2
6,13,3
6,13,3
6,13,2
6,13,3
6,13,2
6,13,3
6,14,2
6,14,3
6,14,3
6,14,3
6,14,3
6,14,2
6,14,3
6,14,3
6,14,2
6,14,3
6,14,3
6,14,3
6,14,2
6,14,3
6,14,3
6,14,3
6,14,3
6,14,3
6,14,3
6,14,2
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
6,15,3
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,1
8,1,1
8,1,0
8,1,0
8,1,0
8,1,0
8,1,1
8,1,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,1
8,2,0
8,2,1
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,1
8,2,0
8,2,0
8,2,1
8,2,0
8,2,0
8,3,1
8,3,0
8,3,2
8,3,0
8,3,1
8,3,0
8,3,0
8,3,0
8,3,0
8,3,1
8,3,0
8,3,1
8,3,0
8,3,0
8,3,0
8,3,0
8,3,1
8,3,1
8,3,0
8,3,0
8,4,0
8,4,2
8,4,0
8,4,1
8,4,0
8,4,0
8,4,0
8,4,1
8,4,0
8,4,0
8,4,0
8,4,0
8,4,0
8,4,0
8,4,1
8,4,0
8,4,0
8,4,0
8,4,1
8,4,0
8,5,0
8,5,2
8,5,1
8,5,1
8,5,0
8,5,1
8,5,0
8,5,0
8,5,3
8,5,0
8,5,0
8,5,2
8,5,1
8,5,0
8,5,0
8,5,0
8,5,0
8,5,0
8,5,1
8,5,0
8,6,2
8,6,1
8,6,2
8,6,0
8,6,1
8,6,2
8,6,1
8,6,0
8,6,2
8,6,0
8,6,0
8,6,0
8,6,1
8,6,2
8,6,2
8,6,0
8,6,4
8,6,1
8,6,1
8,6,2
8,7,1
8,7,1
8,7,0
8,7,1
8,7,2
8,7,0
8,7,0
8,7,3
8,7,3
8,7,1
8,7,1
8,7,0
8,7,2
8,7,1
8,7,1
8,7,0
8,7,1
8,7,2
8,7,0
8,7,2
8,8,0
8,8,0
8,8,2
8,8,1
8,8,1
8,8,2
8,8,0
8,8,1
8,8,1
8,8,2
8,8,0
8,8,2
8,8,2
8,8,1
8,8,0
8,8,2
8,8,1
8,8,1
8,8,1
8,8,1
8,9,1
8,9,1
8,9,1
8,9,1
8,9,3
8,9,0
8,9,0
8,9,1
8,9,2
8,9,2
8,9,2
8,9,2
8,9,1
8,9,2
8,9,4
8,9,2
8,9,2
8,9,1
8,9,1
8,9,2
8,10,2
8,10,1
8,10,0
8,10,2
8,10,1
8,10,2
8,10,1
8,10,1
8,10,2
8,10,1
8,10,0
8,10,3
8,10,1
8,10,1
8,10,2
8,10,2
8,10,0
8,10,2
8,10,1
8,10,1
8,11,0
8,11,1
8,11,0
8,11,2
8,11,2
8,11,1
8,11,3
8,11,1
8,11,1
8,11,1
8,11,1
8,11,0
8,11,0
8,11,2
8,11,2
8,11,1
8,11,1
8,11,1
8,11,2
8,11,1
8,12,1
8,12,2
8,12,2
8,12,0
8,12,2
8,12,0
8,12,2
8,12,2
8,12,1
8,12,2
8,12,2
8,12,1
8,12,2
8,12,2
8,12,2
8,12,3
8,12,2
8,12,4
8,12,4
8,12,2
8,13,2
8,13,3
8,13,3
8,13,2
8,13,3
8,13,3
8,13,2
8,13,1
8,13,0
8,13,3
8,13,3
8,13,0
8,13,3
8,13,2
8,13,0
8,13,2
8,13,1
8,13,1
8,13,2
8,13,1
8,14,2
8,14,2
8,14,2
8,14,1
8,14,4
8,14,0
8,14,3
8,14,3
8,14,2
8,14,3
8,14,1
8,14,2
8,14,3
8,14,1
8,14,2
8,14,2
8,14,3
8,14,2
8,14,1
8,14,3
8,15,2
8,15,4
8,15,1
8,15,1
8,15,0
8,15,2
8,15,1
8,15,2
8,15,0
8,15,0
8,15,3
8,15,4
8,15,2
8,15,2
8,15,2
8,15,1
8,15,3
8,15,2
8,15,2
8,15,2
8,16,2
8,16,3
8,16,3
8,16,3
8,16,2
8,16,2
8,16,2
8,16,3
8,16,3
8,16,2
8,16,2
8,16,4
8,16,3
8,16,3
8,16,3
8,16,2
8,16,2
8,16,3
8,16,2
8,16,2
8,17,3
8,17,3
8,17,2
8,17,2
8,17,1
8,17,3
8,17,4
8,17,2
8,17,3
8,17,2
8,17,3
8,17,3
8,17,1
8,17,3
8,17,2
8,17,2
8,17,2
8,17,1
8,17,3
8,17,1
8,18,1
8,18,4
8,18,1
8,18,3
8,18,3
8,18,2
8,18,1
8,18,2
8,18,2
8,18,3
8,18,4
8,18,3
8,18,3
8,18,1
8,18,3
8,18,2
8,18,4
8,18,1
8,18,4
8,18,2
8,19,4
8,19,3
8,19,2
8,19,4
8,19,2
8,19,1
8,19,3
8,19,2
8,19,2
8,19,3
8,19,2
8,19,1
8,19,2
8,19,2
8,19,3
8,19,2
8,19,4
8,19,2
8,19,2
8,19,3
8,20,3
8,20,3
8,20,2
8,20,4
8,20,3
8,20,3
8,20,1
8,20,4
8,20,3
8,20,3
8,20,2
8,20,1
8,20,2
8,20,3
8,20,3
8,20,3
8,20,2
8,20,3
8,20,3
8,20,4
8,21,3
8,21,3
8,21,3
8,21,3
8,21,3
8,21,2
8,21,3
8,21,3
8,21,4
8,21,3
8,21,4
8,21,4
8,21,3
8,21,3
8,21,3
8,21,2
8,21,3
8,21,3
8,21,4
8,21,4
8,22,4
8,22,3
8,22,2
8,22,4
8,22,3
8,22,4
8,22,3
8,22,3
8,22,4
8,22,3
8,22,3
8,22,1
8,22,4
8,22,4
8,22,4
8,22,3
8,22,4
8,22,4
8,22,4
8,22,4
8,23,4
8,23,4
8,23,3
8,23,3
8,23,3
8,23,3
8,23,4
8,23,3
8,23,4
8,23,3
8,23,4
8,23,1
8,23,4
8,23,4
8,23,3
8,23,4
8,23,2
8,23,4
8,23,4
8,23,3
8,24,2
8,24,3
8,24,4
8,24,4
8,24,3
8,24,3
8,24,3
8,24,3
8,24,4
8,24,3
8,24,4
8,24,3
8,24,4
8,24,3
8,24,2
8,24,3
8,24,4
8,24,3
8,24,3
8,24,3
8,25,3
8,25,3
8,25,4
8,25,4
8,25,4
8,25,4
8,25,3
8,25,3
8,25,4
8,25,3
8,25,4
8,25,4
8,25,4
8,25,2
8,25,4
8,25,4
8,25,3
8,25,3
8,25,4
8,25,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,4
8,26,3
8,26,4
8,26,4
8,26,4
8,26,3
8,26,2
8,26,3
8,26,4
8,26,4
8,26,4
8,27,3
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,4
8,27,3
8,27,4
8,28,4
